Month,NetSales,NetPurchases,Profit
2023-09,18274008.97,18636800.42,-362791.450000003
2023-10,69643925.36,56020646.42,13623278.939999998
2023-11,74910626.78999999,30377771.73,44532855.05999999
2023-12,124219704.96000001,38850711.239999995,85368993.72000001
2024-01,148169773.54999998,84268060.38,63901713.16999999
2024-02,141163186.53,133805169.08,7358017.450000003
2024-03,121240273.46000001,63509537.44,57730736.02000001
2024-04,104991925.47,30819662.99,74172262.48
2024-05,98150342.19,28260918.669999998,69889423.52
2024-06,132908312.98,133925622.08999999,-1017309.1099999845
2024-07,156689077.10000002,118280798.56,38408278.54000002
2024-08,136544785.32999998,228967539.98000002,-92422754.65000004
2024-09,118706076.44,97763672.28999999,20942404.150000006
2024-10,88909863.19,23278889.59,65630973.599999994
